subject,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s048,0.1237,0.3676,0.2439,0.0836,0.5193,0.4357,0.0958,0.1507,0.0549,0.0823,0.2962,0.2139,0.0897,0.469,0.3793,0.0868,0.1393,0.0525,0.101,0.1298,0.0288,0.0976,0.0963,-0.0013,0.0829,0.1544,0.0715,0.1,0.2049,0.1049,0.1068
s033,0.1111,0.3186,0.2075,0.1377,0.1269,-0.0108,0.1182,0.5431,0.4249,0.1269,0.8149,0.688,0.0631,0.5184,0.4553,0.1464,0.182,0.0356,0.1488,0.1927,0.0439,0.207,0.2171,0.0101,0.1153,0.2722,0.1569,0.1132,0.298,0.1848,0.1438
s026,0.1069,0.3778,0.2709,0.081,0.1122,0.0312,0.0681,0.2085,0.1404,0.0779,0.2341,0.1562,0.0721,0.3656,0.2935,0.0822,0.1859,0.1037,0.0837,0.212,0.1283,0.0858,0.1239,0.0381,0.046,0.1864,0.1404,0.0937,0.2683,0.1746,0.0921
s047,0.0604,0.159,0.0986,0.0966,0.3909,0.2943,0.0736,0.2174,0.1438,0.0404,1.01,0.9696,0.0973,0.397,0.2997,0.0884,0.523,0.4346,0.0522,0.1541,0.1019,0.0652,0.1093,0.0441,0.0789,0.1984,0.1195,0.0979,0.2246,0.1267,0.0794
s047,0.0567,0.342,0.2853,0.0884,0.4785,0.3901,0.048,0.1229,0.0749,0.0512,0.7097,0.6585,0.071,0.4139,0.3429,0.0874,0.3343,0.2469,0.0443,0.1792,0.1349,0.047,0.1336,0.0866,0.0575,0.2888,0.2313,0.0968,0.2539,0.1571,0.0907
s042,0.1263,0.3725,0.2462,0.0689,0.1686,0.0997,0.0747,0.2134,0.1387,0.0818,0.3463,0.2645,0.0755,0.3696,0.2941,0.086,0.1918,0.1058,0.0923,0.1414,0.0491,0.0826,0.2,0.1174,0.2097,0.2213,0.0116,0.1445,0.3029,0.1584,0.1701
s035,0.0649,0.1824,0.1175,0.0973,0.1422,0.0449,0.0573,0.1209,0.0636,0.1395,0.1284,-0.0111,0.0976,0.3612,0.2636,0.1511,0.3508,0.1997,0.0702,0.2747,0.2045,0.101,0.1227,0.0217,0.0929,0.1507,0.0578,0.0929,0.265,0.1721,0.0646
s015,0.1029,0.1828,0.0799,0.0805,0.1133,0.0328,0.0774,0.2278,0.1504,0.0818,0.7449,0.6631,0.0866,0.4107,0.3241,0.0694,0.1742,0.1048,0.0668,0.0655,-0.0013,0.0714,0.064,-0.0074,0.0721,0.1019,0.0298,0.0921,0.1968,0.1047,0.0853
s031,0.1217,0.1662,0.0445,0.0792,0.151,0.0718,0.0808,0.1315,0.0507,0.0818,0.3858,0.304,0.1093,0.8673,0.758,0.1347,0.2429,0.1082,0.0713,0.1128,0.0415,0.1241,0.1355,0.0114,0.1014,0.1568,0.0554,0.1159,0.3686,0.2527,0.0755
s015,0.0599,0.1353,0.0754,0.0736,0.0715,-0.0021,0.0845,0.0446,-0.0399,0.0653,0.2841,0.2188,0.0626,0.2989,0.2363,0.0536,0.1597,0.1061,0.0718,0.0854,0.0136,0.0847,0.0718,-0.0129,0.088,0.085,-0.003,0.0764,0.166,0.0896,0.0671
s004,0.1185,0.1947,0.0762,0.0895,0.1452,0.0557,0.1096,0.0861,-0.0235,0.0718,0.4753,0.4035,0.0726,0.4152,0.3426,0.1431,0.3878,0.2447,0.0723,0.093,0.0207,0.0861,0.1313,0.0452,0.0766,0.1418,0.0652,0.0921,0.1947,0.1026,0.0861
s042,0.091,0.294,0.203,0.0491,0.1504,0.1013,0.0528,0.1512,0.0984,0.0599,0.2656,0.2057,0.0541,0.2791,0.225,0.0676,0.1765,0.1089,0.0871,0.1178,0.0307,0.0747,0.1971,0.1224,0.1071,0.8505,0.7434,0.0768,0.1914,0.1146,0.1111
s042,0.1285,0.2619,0.1334,0.0541,0.1354,0.0813,0.0747,0.1512,0.0765,0.0736,0.2695,0.1959,0.0549,0.273,0.2181,0.0758,0.1613,0.0855,0.0907,0.1185,0.0278,0.0773,0.2142,0.1369,0.1548,0.1144,-0.0404,0.1198,0.2653,0.1455,0.1292
s037,0.1224,0.1389,0.0165,0.0728,0.1343,0.0615,0.0528,0.0745,0.0217,0.0654,0.3051,0.2397,0.0188,0.7694,0.7506,0.0726,0.1544,0.0818,0.062,0.1264,0.0644,0.0778,0.0744,-0.0034,0.0794,0.1553,0.0759,0.086,0.1898,0.1038,0.0873
s025,0.1425,0.1514,0.0089,0.0755,0.1492,0.0737,0.0792,0.1101,0.0309,0.1056,0.5523,0.4467,0.0768,0.8371,0.7603,0.0795,0.2474,0.1679,0.0953,0.1112,0.0159,0.0697,0.1447,0.075,0.0718,0.5964,0.5246,0.1006,0.3493,0.2487,0.0961
s048,0.1045,0.1574,0.0529,0.099,0.0726,-0.0264,0.071,0.1251,0.0541,0.1155,0.2513,0.1358,0.0984,1.0413,0.9429,0.1132,0.2527,0.1395,0.0702,0.1357,0.0655,0.0881,0.1195,0.0314,0.1047,0.154,0.0493,0.0958,0.1914,0.0956,0.0973
s031,0.0858,0.2459,0.1601,0.0676,0.1721,0.1045,0.0824,0.1996,0.1172,0.0597,0.7941,0.7344,0.0771,0.3711,0.294,0.0697,0.231,0.1613,0.0481,0.1194,0.0713,0.0547,0.1302,0.0755,0.0671,0.1975,0.1304,0.0671,0.3309,0.2638,0.065
s054,0.095,0.2176,0.1226,0.0828,0.1076,0.0248,0.1108,0.0971,-0.0137,0.1126,0.2215,0.1089,0.0826,0.3197,0.2371,0.0902,0.1327,0.0425,0.0939,0.1254,0.0315,0.1209,0.1032,-0.0177,0.0742,0.1723,0.0981,0.0923,0.2251,0.1328,0.1161
s044,0.0762,0.3285,0.2523,0.0641,0.1359,0.0718,0.0522,0.1221,0.0699,0.0443,0.2906,0.2463,0.0491,1.1955,1.1464,0.0594,0.3276,0.2682,0.0699,0.0935,0.0236,0.0889,0.2604,0.1715,0.0551,0.2009,0.1458,0.0741,0.2188,0.1447,0.0762
s034,0.1448,0.5221,0.3773,0.0683,0.1005,0.0322,0.0631,0.1151,0.052,0.0623,0.7917,0.7294,0.0673,0.415,0.3477,0.0602,0.0974,0.0372,0.0715,0.1175,0.046,0.0712,0.0979,0.0267,0.0979,0.206,0.1081,0.1008,0.2755,0.1747,0.0852
s008,0.1053,0.1907,0.0854,0.0726,0.218,0.1454,0.0855,0.1188,0.0333,0.081,0.2549,0.1739,0.1003,0.3519,0.2516,0.0911,0.1112,0.0201,0.0954,0.083,-0.0124,0.1072,0.1059,-0.0013,0.0987,0.0715,-0.0272,0.1283,0.2256,0.0973,0.1169
s031,0.1272,0.1459,0.0187,0.0708,0.136,0.0652,0.065,0.1342,0.0692,0.0969,0.5281,0.4312,0.0533,0.4115,0.3582,0.0893,0.2326,0.1433,0.1006,0.0874,-0.0132,0.1328,0.1376,0.0048,0.099,0.1283,0.0293,0.123,0.444,0.321,0.1006
s010,0.1029,0.1245,0.0216,0.07,0.131,0.061,0.0731,0.0921,0.019,0.0694,0.2101,0.1407,0.057,0.1988,0.1418,0.051,0.0988,0.0478,0.0837,0.1247,0.041,0.0689,0.083,0.0141,0.0919,0.2122,0.1203,0.076,0.158,0.082,0.0755
s055,0.0789,0.086,0.0071,0.1016,0.1346,0.033,0.0828,0.0551,-0.0277,0.1095,0.1369,0.0274,0.0813,0.1895,0.1082,0.1018,0.1092,0.0074,0.0741,0.0906,0.0165,0.0926,0.0631,-0.0295,0.0604,0.1661,0.1057,0.0836,0.1776,0.094,0.0961
s052,0.0581,0.5409,0.4828,0.0903,0.0615,-0.0288,0.1098,0.1112,0.0014,0.0747,0.2387,0.164,0.076,0.2718,0.1958,0.0663,0.1729,0.1066,0.0691,0.3421,0.273,0.0876,0.0686,-0.019,0.1095,0.0649,-0.0446,0.0905,0.5334,0.4429,0.0712
s011,0.0884,0.1126,0.0242,0.1397,0.1014,-0.0383,0.1149,0.1374,0.0225,0.1273,0.0916,-0.0357,0.0932,0.2215,0.1283,0.1697,0.1763,0.0066,0.1188,0.1022,-0.0166,0.1236,0.0882,-0.0354,0.1043,0.0639,-0.0404,0.1003,0.0645,-0.0358,0.0943
s036,0.0512,0.505,0.4538,0.0499,0.2063,0.1564,0.042,0.6609,0.6189,0.0451,0.3006,0.2555,0.0581,0.6497,0.5916,0.0417,0.59,0.5483,0.043,0.1386,0.0956,0.0546,0.397,0.3424,0.0449,0.7374,0.6925,0.0404,0.6492,0.6088,0.043
s011,0.0552,0.2216,0.1664,0.0993,0.0837,-0.0156,0.0584,0.2532,0.1948,0.0861,0.2009,0.1148,0.0905,0.2645,0.174,0.1252,0.1564,0.0312,0.081,0.117,0.036,0.1017,0.0745,-0.0272,0.1238,0.1373,0.0135,0.0641,0.0463,-0.0178,0.1056
s036,0.0406,1.2259,1.1853,0.0406,0.1609,0.1203,0.0409,0.8853,0.8444,0.0457,0.2651,0.2194,0.0546,0.4453,0.3907,0.0417,0.58,0.5383,0.0433,0.3459,0.3026,0.0544,0.32,0.2656,0.0385,0.6967,0.6582,0.048,1.195,1.147,0.0478
s037,0.1269,0.226,0.0991,0.0889,0.1559,0.067,0.0533,0.1071,0.0538,0.0599,0.225,0.1651,0.0683,0.3147,0.2464,0.0755,0.1789,0.1034,0.072,0.1341,0.0621,0.0852,0.0723,-0.0129,0.1,0.168,0.068,0.105,0.2096,0.1046,0.1047
s039,0.0871,0.1416,0.0545,0.0886,0.1279,0.0393,0.095,0.1583,0.0633,0.0834,0.2284,0.145,0.0987,0.5099,0.4112,0.1678,0.2214,0.0536,0.0873,0.1227,0.0354,0.1079,0.1399,0.032,0.0884,0.2142,0.1258,0.0984,0.2275,0.1291,0.095
s026,0.0839,0.2984,0.2145,0.0734,0.1566,0.0832,0.0715,0.1444,0.0729,0.0855,0.1834,0.0979,0.0792,0.3334,0.2542,0.0895,0.1769,0.0874,0.0924,0.2091,0.1167,0.0818,0.1584,0.0766,0.0839,0.2005,0.1166,0.1175,0.794,0.6765,0.0956
s056,0.0923,0.1587,0.0664,0.0747,0.1122,0.0375,0.0778,0.0855,0.0077,0.0654,0.192,0.1266,0.0992,0.4695,0.3703,0.129,0.3938,0.2648,0.1253,0.2757,0.1504,0.1153,0.1349,0.0196,0.0644,0.1688,0.1044,0.0944,0.1344,0.04,0.1224
s057,0.0915,0.4859,0.3944,0.0815,0.085,0.0035,0.0942,0.2332,0.139,0.0855,0.8759,0.7904,0.0834,0.3556,0.2722,0.0707,0.2077,0.137,0.1005,0.1417,0.0412,0.1055,0.1066,0.0011,0.0749,0.177,0.1021,0.0894,0.5328,0.4434,0.1266
s051,0.1213,0.1479,0.0266,0.0715,0.0926,0.0211,0.0961,0.0831,-0.013,0.1199,0.1114,-0.0085,0.061,0.2283,0.1673,0.1182,0.1557,0.0375,0.0541,0.0985,0.0444,0.0865,0.0984,0.0119,0.1156,0.0728,-0.0428,0.089,0.1772,0.0882,0.0478
s013,0.076,0.082,0.006,0.0499,0.1143,0.0644,0.0932,0.0586,-0.0346,0.066,0.1953,0.1293,0.0541,0.2917,0.2376,0.0885,0.1115,0.023,0.0721,0.0901,0.018,0.1273,0.0671,-0.0602,0.0669,0.1268,0.0599,0.0779,0.1913,0.1134,0.0911
s033,0.1295,0.3298,0.2003,0.1855,0.1583,-0.0272,0.1311,0.2139,0.0828,0.1308,0.7692,0.6384,0.0995,0.6072,0.5077,0.1557,0.6452,0.4895,0.0971,1.2683,1.1712,0.1952,0.2633,0.0681,0.0915,0.9137,0.8222,0.11,0.7167,0.6067,0.0958
s005,0.0948,0.2581,0.1633,0.1214,0.26,0.1386,0.0993,0.1748,0.0755,0.1127,0.4726,0.3599,0.0829,0.5442,0.4613,0.113,0.3392,0.2262,0.1051,0.1619,0.0568,0.1468,0.188,0.0412,0.0855,0.2188,0.1333,0.0977,0.3781,0.2804,0.1
s019,0.0758,0.3642,0.2884,0.0813,0.189,0.1077,0.0565,0.0977,0.0412,0.0866,0.3455,0.2589,0.0758,0.3343,0.2585,0.1054,0.2165,0.1111,0.0694,0.1228,0.0534,0.1032,0.1914,0.0882,0.0594,0.2871,0.2277,0.0541,0.506,0.4519,0.1169
s040,0.12,0.3029,0.1829,0.1179,0.1459,0.028,0.148,0.792,0.644,0.1664,1.3441,1.1777,0.1016,0.714,0.6124,0.1003,0.2992,0.1989,0.1085,0.1011,-0.0074,0.1989,0.3002,0.1013,0.1496,0.3553,0.2057,0.0976,0.265,0.1674,0.1134
s017,0.0655,0.2797,0.2142,0.0557,0.1024,0.0467,0.0362,0.0972,0.061,0.0581,0.2088,0.1507,0.0436,0.3698,0.3262,0.0433,0.1748,0.1315,0.0613,0.115,0.0537,0.0666,0.0621,-0.0045,0.0571,0.1584,0.1013,0.0597,0.1728,0.1131,0.0594
s032,0.1192,0.3306,0.2114,0.0823,0.2036,0.1213,0.0755,0.0599,-0.0156,0.0918,0.268,0.1762,0.0828,0.283,0.2002,0.1097,0.1841,0.0744,0.0857,0.1003,0.0146,0.0921,0.1222,0.0301,0.0499,0.1477,0.0978,0.0878,0.2283,0.1405,0.1234
s032,0.1026,0.279,0.1764,0.0889,0.134,0.0451,0.0881,0.1158,0.0277,0.1058,0.5886,0.4828,0.0697,0.3095,0.2398,0.0787,0.1919,0.1132,0.0739,0.0713,-0.0026,0.0726,0.1251,0.0525,0.0675,0.1754,0.1079,0.0728,0.2431,0.1703,0.0707
s021,0.1272,0.2892,0.162,0.0689,1.0677,0.9988,0.1035,0.1318,0.0283,0.0697,0.218,0.1483,0.0607,0.2782,0.2175,0.0742,0.6783,0.6041,0.065,0.1577,0.0927,0.0747,0.1882,0.1135,0.0958,0.2871,0.1913,0.1499,0.5947,0.4448,0.0995
s024,0.0697,0.3055,0.2358,0.0594,0.2209,0.1615,0.0454,0.089,0.0436,0.0586,0.7014,0.6428,0.057,0.459,0.402,0.0531,0.2696,0.2165,0.0547,0.2796,0.2249,0.0533,0.3386,0.2853,0.062,0.2776,0.2156,0.0713,0.2533,0.182,0.066
s046,0.1432,0.5516,0.4084,0.086,0.1955,0.1095,0.0778,0.1316,0.0538,0.0757,1.212,1.1363,0.0781,0.5507,0.4726,0.1129,0.7888,0.6759,0.1617,0.5365,0.3748,0.1485,0.1686,0.0201,0.1153,0.2862,0.1709,0.1358,0.2823,0.1465,0.0897
s022,0.0388,0.5974,0.5586,0.0449,0.3378,0.2929,0.0351,0.2006,0.1655,0.1077,0.9339,0.8262,0.0444,0.6176,0.5732,0.0433,0.4051,0.3618,0.0483,0.4722,0.4239,0.085,0.2101,0.1251,0.0518,0.4421,0.3903,0.046,0.7154,0.6694,0.057
s002,0.0792,0.1121,0.0329,0.08,0.1405,0.0605,0.0539,0.0819,0.028,0.0911,0.2186,0.1275,0.0895,0.4395,0.35,0.1135,0.193,0.0795,0.0871,0.1368,0.0497,0.1027,0.0898,-0.0129,0.0789,0.1889,0.11,0.0718,0.2087,0.1369,0.0715
s012,0.1415,0.1403,-0.0012,0.1286,0.1426,0.014,0.1388,0.0971,-0.0417,0.1367,0.2185,0.0818,0.1003,0.2838,0.1835,0.1561,0.1738,0.0177,0.1246,0.1814,0.0568,0.175,0.122,-0.053,0.1333,0.1523,0.019,0.2051,0.3198,0.1147,0.1365
s055,0.0868,0.1532,0.0664,0.0865,0.1008,0.0143,0.0789,0.0805,0.0016,0.1296,0.1018,-0.0278,0.0929,0.194,0.1011,0.114,0.1248,0.0108,0.0741,0.0753,0.0012,0.1008,0.08,-0.0208,0.0559,0.1493,0.0934,0.1029,0.1257,0.0228,0.1221
s010,0.0937,0.1097,0.016,0.0584,0.1244,0.066,0.0842,0.1146,0.0304,0.0613,0.2078,0.1465,0.0536,0.2381,0.1845,0.0528,0.1495,0.0967,0.0847,0.1141,0.0294,0.062,0.1146,0.0526,0.0673,0.2087,0.1414,0.0597,0.286,0.2263,0.0686
s040,0.1034,0.4245,0.3211,0.1066,0.1407,0.0341,0.1229,0.9483,0.8254,0.106,0.6743,0.5683,0.115,0.5162,0.4012,0.0786,0.2902,0.2116,0.0973,0.2424,0.1451,0.2031,0.1243,-0.0788,0.1664,0.1785,0.0121,0.134,0.3161,0.1821,0.1076
s018,0.1156,0.5979,0.4823,0.0808,0.1128,0.032,0.0908,0.0876,-0.0032,0.0758,0.2671,0.1913,0.0723,0.4943,0.422,0.1257,0.2023,0.0766,0.0911,0.1049,0.0138,0.1233,0.1537,0.0304,0.1452,0.0433,-0.1019,0.1291,0.2472,0.1181,0.0879
s007,0.0816,0.1602,0.0786,0.0483,0.0903,0.042,0.0739,0.1452,0.0713,0.1336,0.1864,0.0528,0.1011,0.2754,0.1743,0.0932,0.1183,0.0251,0.0832,0.0999,0.0167,0.1066,0.1117,0.0051,0.1547,0.138,-0.0167,0.0938,0.2114,0.1176,0.081
s005,0.0797,0.1847,0.105,0.1209,0.2421,0.1212,0.0832,0.1914,0.1082,0.1212,0.1993,0.0781,0.1035,0.4355,0.332,0.1367,0.2642,0.1275,0.0898,0.1736,0.0838,0.1499,0.1621,0.0122,0.0977,0.2304,0.1327,0.0837,0.3739,0.2902,0.0964
s008,0.0795,0.1478,0.0683,0.0903,0.1381,0.0478,0.0718,0.0594,-0.0124,0.094,0.204,0.11,0.0985,0.3171,0.2186,0.0996,0.1263,0.0267,0.1072,0.0816,-0.0256,0.1199,0.1049,-0.015,0.0816,0.0649,-0.0167,0.1125,0.176,0.0635,0.1066
s021,0.0884,0.3205,0.2321,0.0663,0.1661,0.0998,0.0977,0.1508,0.0531,0.0647,0.2114,0.1467,0.0613,0.2471,0.1858,0.0911,0.2178,0.1267,0.0779,0.0862,0.0083,0.0689,0.193,0.1241,0.0839,0.3399,0.256,0.0929,0.5002,0.4073,0.0985
s008,0.0921,0.3095,0.2174,0.0974,0.1175,0.0201,0.0771,0.1212,0.0441,0.1045,0.3109,0.2064,0.0977,0.4054,0.3077,0.1219,0.1837,0.0618,0.108,0.1099,0.0019,0.1328,0.1508,0.018,0.0684,0.1998,0.1314,0.1233,0.2731,0.1498,0.1238
s042,0.1095,0.2218,0.1123,0.0615,0.1834,0.1219,0.0712,0.1324,0.0612,0.0728,0.2619,0.1891,0.0602,0.3448,0.2846,0.0654,0.1535,0.0881,0.0863,0.1178,0.0315,0.0823,0.1673,0.085,0.1361,0.0778,-0.0583,0.1153,0.2819,0.1666,0.1395
s022,0.0539,0.4768,0.4229,0.0515,0.2653,0.2138,0.0407,0.1827,0.142,0.1146,1.0894,0.9748,0.0557,1.0475,0.9918,0.0929,0.9039,0.811,0.0441,0.3516,0.3075,0.0993,0.2693,0.17,0.0673,0.5779,0.5106,0.0489,0.8521,0.8032,0.0708
s054,0.0931,0.1793,0.0862,0.0752,0.1351,0.0599,0.0678,0.0984,0.0306,0.0733,0.2154,0.1421,0.0591,0.3361,0.277,0.0699,0.1206,0.0507,0.0652,0.118,0.0528,0.0842,0.099,0.0148,0.1393,0.1131,-0.0262,0.1027,0.2374,0.1347,0.0551
s010,0.085,0.2258,0.1408,0.0686,0.1589,0.0903,0.0845,0.1138,0.0293,0.0689,0.2154,0.1465,0.0549,0.2215,0.1666,0.0621,0.1094,0.0473,0.0919,0.1213,0.0294,0.0576,0.0909,0.0333,0.0898,0.2136,0.1238,0.08,0.1596,0.0796,0.0636
s022,0.0547,0.4898,0.4351,0.0562,0.4824,0.4262,0.0597,0.2978,0.2381,0.1037,0.3172,0.2135,0.0689,1.2042,1.1353,0.0681,0.4698,0.4017,0.0631,0.4762,0.4131,0.1135,0.2777,0.1642,0.066,0.4492,0.3832,0.0615,0.8391,0.7776,0.051
s053,0.071,0.1295,0.0585,0.0507,0.1085,0.0578,0.0916,0.0831,-0.0085,0.0871,0.2097,0.1226,0.0681,0.2889,0.2208,0.0496,0.1818,0.1322,0.0876,0.1025,0.0149,0.1272,0.0626,-0.0646,0.1259,0.0871,-0.0388,0.0726,0.1693,0.0967,0.0757
